	wavelength	i
	0.75199E+04	0.10000E+01
	0.75222E+04	0.10000E+01
	0.75245E+04	0.10000E+01
	0.75267E+04	0.10000E+01
	0.75290E+04	0.10000E+01
	0.75313E+04	0.10000E+01
	0.75335E+04	0.10000E+01
	0.75358E+04	0.10000E+01
	0.75381E+04	0.10000E+01
	0.75403E+04	0.10000E+01
	0.75426E+04	0.10000E+01
	0.75449E+04	0.10000E+01
	0.75472E+04	0.10000E+01
	0.75494E+04	0.10000E+01
	0.75517E+04	0.10000E+01
	0.75540E+04	0.10000E+01
	0.75563E+04	0.10000E+01
	0.75586E+04	0.10000E+01
	0.75609E+04	0.10000E+01
	0.75632E+04	0.10000E+01
	0.75654E+04	0.10000E+01
	0.75677E+04	0.10000E+01
	0.75700E+04	0.10000E+01
	0.75723E+04	0.10000E+01
	0.75746E+04	0.10000E+01
	0.75769E+04	0.10000E+01
	0.75792E+04	0.10000E+01
	0.75815E+04	0.10000E+01
	0.75838E+04	0.10000E+01
	0.75861E+04	0.10000E+01
	0.75884E+04	0.10000E+01
	0.75907E+04	0.10000E+01
	0.75930E+04	0.99960E+00
	0.75953E+04	0.88420E+00
	0.75976E+04	0.49300E+00
	0.75999E+04	0.48870E+00
	0.76022E+04	0.45210E+00
	0.76046E+04	0.27830E+00
	0.76069E+04	0.26790E+00
	0.76092E+04	0.29340E+00
	0.76115E+04	0.35410E+00
	0.76138E+04	0.48880E+00
	0.76161E+04	0.52450E+00
	0.76185E+04	0.72860E+00
	0.76208E+04	0.96940E+00
	0.76231E+04	0.71240E+00
	0.76254E+04	0.54360E+00
	0.76278E+04	0.71160E+00
	0.76301E+04	0.40000E+00
	0.76324E+04	0.63100E+00
	0.76348E+04	0.59640E+00
	0.76371E+04	0.56050E+00
	0.76394E+04	0.69470E+00
	0.76418E+04	0.48300E+00
	0.76441E+04	0.84540E+00
	0.76464E+04	0.51380E+00
	0.76488E+04	0.90380E+00
	0.76511E+04	0.62840E+00
	0.76535E+04	0.88740E+00
	0.76558E+04	0.80040E+00
	0.76581E+04	0.81990E+00
	0.76605E+04	0.87080E+00
	0.76628E+04	0.84440E+00
	0.76652E+04	0.99240E+00
	0.76675E+04	0.79870E+00
	0.76699E+04	0.99630E+00
	0.76722E+04	0.92650E+00
	0.76746E+04	0.92830E+00
	0.76770E+04	0.99920E+00
	0.76793E+04	0.90430E+00
	0.76817E+04	0.99960E+00
	0.76840E+04	0.97080E+00
	0.76864E+04	0.96990E+00
	0.76888E+04	0.10000E+01
	0.76911E+04	0.97980E+00
	0.76935E+04	0.98870E+00
	0.76959E+04	0.10000E+01
	0.76982E+04	0.98630E+00
	0.77006E+04	0.10000E+01
	0.77030E+04	0.10000E+01
	0.77053E+04	0.99500E+00
	0.77077E+04	0.10000E+01
	0.77101E+04	0.10000E+01
	0.77125E+04	0.99840E+00
	0.77149E+04	0.10000E+01
	0.77172E+04	0.10000E+01
	0.77196E+04	0.99960E+00
	0.77220E+04	0.10000E+01
	0.77244E+04	0.10000E+01
	0.77268E+04	0.10000E+01
	0.77292E+04	0.10000E+01
	0.77316E+04	0.10000E+01
	0.77340E+04	0.10000E+01
	0.77363E+04	0.10000E+01
	0.77387E+04	0.10000E+01
	0.77411E+04	0.10000E+01
	0.77435E+04	0.10000E+01
	0.77459E+04	0.10000E+01
	0.77483E+04	0.10000E+01
	0.77507E+04	0.10000E+01
	0.77531E+04	0.10000E+01
	0.77555E+04	0.10000E+01
	0.77580E+04	0.10000E+01
	0.77604E+04	0.10000E+01
	0.77628E+04	0.10000E+01
	0.77652E+04	0.10000E+01
	0.77676E+04	0.10000E+01
	0.77700E+04	0.10000E+01
	0.77724E+04	0.10000E+01
	0.77748E+04	0.10000E+01
	0.77773E+04	0.10000E+01
	0.77797E+04	0.10000E+01
	0.77821E+04	0.10000E+01
	0.77845E+04	0.10000E+01
	0.77869E+04	0.10000E+01
	0.77894E+04	0.10000E+01
	0.77918E+04	0.10000E+01
	0.77942E+04	0.10000E+01
	0.77967E+04	0.10000E+01
	0.77991E+04	0.10000E+01
	0.78015E+04	0.10000E+01
	0.78040E+04	0.10000E+01
	0.78064E+04	0.10000E+01
	0.78088E+04	0.10000E+01
	0.78113E+04	0.10000E+01
	0.78137E+04	0.10000E+01
	0.78162E+04	0.10000E+01
	0.78186E+04	0.10000E+01
	0.78211E+04	0.10000E+01
	0.78235E+04	0.10000E+01
	0.78260E+04	0.10000E+01
	0.78284E+04	0.10000E+01
	0.78309E+04	0.10000E+01
	0.78333E+04	0.10000E+01
	0.78358E+04	0.10000E+01
	0.78382E+04	0.10000E+01
	0.78407E+04	0.10000E+01
	0.78431E+04	0.10000E+01
	0.78456E+04	0.10000E+01
	0.78481E+04	0.10000E+01
	0.78505E+04	0.10000E+01
	0.78530E+04	0.10000E+01
	0.78555E+04	0.10000E+01
	0.78579E+04	0.10000E+01
	0.78604E+04	0.10000E+01
	0.78629E+04	0.10000E+01
	0.78653E+04	0.10000E+01
	0.78678E+04	0.10000E+01
	0.78703E+04	0.10000E+01
	0.78728E+04	0.10000E+01
	0.78753E+04	0.10000E+01
	0.78777E+04	0.10000E+01
	0.78802E+04	0.10000E+01
	0.78827E+04	0.10000E+01
	0.78852E+04	0.10000E+01
	0.78877E+04	0.10000E+01
	0.78902E+04	0.10000E+01
	0.78927E+04	0.10000E+01
	0.78952E+04	0.10000E+01
	0.78976E+04	0.10000E+01
	0.79001E+04	0.10000E+01
	0.79026E+04	0.10000E+01
	0.79051E+04	0.10000E+01
	0.79076E+04	0.10000E+01
	0.79101E+04	0.10000E+01
	0.79126E+04	0.10000E+01
	0.79151E+04	0.10000E+01
	0.79177E+04	0.10000E+01
	0.79202E+04	0.10000E+01
	0.79227E+04	0.10000E+01
	0.79252E+04	0.10000E+01
	0.79277E+04	0.10000E+01
	0.79302E+04	0.10000E+01
	0.79327E+04	0.10000E+01
	0.79352E+04	0.10000E+01
	0.79378E+04	0.10000E+01
	0.79403E+04	0.10000E+01
	0.79428E+04	0.10000E+01
	0.79453E+04	0.10000E+01
	0.79479E+04	0.10000E+01
	0.79504E+04	0.10000E+01
	0.79529E+04	0.10000E+01
	0.79555E+04	0.10000E+01
	0.79580E+04	0.10000E+01
	0.79605E+04	0.10000E+01
	0.79631E+04	0.10000E+01
	0.79656E+04	0.10000E+01
	0.79681E+04	0.10000E+01
	0.79707E+04	0.10000E+01
	0.79732E+04	0.10000E+01
	0.79758E+04	0.10000E+01
	0.79783E+04	0.10000E+01
	0.79808E+04	0.10000E+01
	0.79834E+04	0.10000E+01
	0.79859E+04	0.10000E+01
	0.79885E+04	0.10000E+01
	0.79910E+04	0.10000E+01
	0.79936E+04	0.10000E+01
	0.79962E+04	0.10000E+01
	0.79987E+04	0.10000E+01
	0.80013E+04	0.10000E+01
	0.80038E+04	0.10000E+01
	0.80064E+04	0.10000E+01
	0.80090E+04	0.10000E+01
	0.80115E+04	0.10000E+01
	0.80141E+04	0.10000E+01
	0.80167E+04	0.10000E+01
	0.80192E+04	0.10000E+01
	0.80218E+04	0.10000E+01
	0.80244E+04	0.10000E+01
	0.80270E+04	0.10000E+01
	0.80295E+04	0.10000E+01
	0.80321E+04	0.10000E+01
	0.80347E+04	0.10000E+01
	0.80373E+04	0.10000E+01
	0.80399E+04	0.10000E+01
	0.80425E+04	0.10000E+01
	0.80451E+04	0.10000E+01
	0.80476E+04	0.10000E+01
	0.80502E+04	0.10000E+01
	0.80528E+04	0.10000E+01
	0.80554E+04	0.10000E+01
	0.80580E+04	0.10000E+01
	0.80606E+04	0.10000E+01
	0.80632E+04	0.10000E+01
	0.80658E+04	0.10000E+01
	0.80684E+04	0.10000E+01
	0.80710E+04	0.10000E+01
	0.80736E+04	0.10000E+01
	0.80762E+04	0.10000E+01
	0.80789E+04	0.10000E+01
	0.80815E+04	0.10000E+01
	0.80841E+04	0.10000E+01
	0.80867E+04	0.10000E+01
	0.80893E+04	0.10000E+01
	0.80919E+04	0.10000E+01
	0.80945E+04	0.10000E+01
	0.80972E+04	0.10000E+01
	0.80998E+04	0.10000E+01
	0.81024E+04	0.10000E+01
	0.81050E+04	0.10000E+01
	0.81077E+04	0.10000E+01
	0.81103E+04	0.10000E+01
	0.81129E+04	0.10000E+01
	0.81156E+04	0.10000E+01
	0.81182E+04	0.10000E+01
	0.81208E+04	0.10000E+01
	0.81235E+04	0.10000E+01
	0.81261E+04	0.10000E+01
	0.81288E+04	0.10000E+01
	0.81314E+04	0.10000E+01
	0.81340E+04	0.10000E+01
	0.81367E+04	0.10000E+01
	0.81393E+04	0.10000E+01
	0.81420E+04	0.10000E+01
	0.81446E+04	0.10000E+01
	0.81473E+04	0.10000E+01
	0.81500E+04	0.10000E+01
	0.81526E+04	0.10000E+01
	0.81553E+04	0.10000E+01
	0.81579E+04	0.10000E+01
	0.81606E+04	0.10000E+01
	0.81633E+04	0.10000E+01
	0.81659E+04	0.10000E+01
	0.81686E+04	0.10000E+01
	0.81713E+04	0.10000E+01
	0.81739E+04	0.10000E+01
	0.81766E+04	0.10000E+01
	0.81793E+04	0.10000E+01
	0.81820E+04	0.10000E+01
	0.81846E+04	0.10000E+01
	0.81873E+04	0.10000E+01
	0.81900E+04	0.10000E+01
	0.81927E+04	0.10000E+01
	0.81954E+04	0.10000E+01
	0.81981E+04	0.10000E+01
	0.82008E+04	0.10000E+01
	0.82034E+04	0.10000E+01
	0.82061E+04	0.10000E+01
	0.82088E+04	0.10000E+01
	0.82115E+04	0.10000E+01
	0.82142E+04	0.10000E+01
	0.82169E+04	0.10000E+01
	0.82196E+04	0.10000E+01
	0.82223E+04	0.10000E+01
	0.82250E+04	0.10000E+01
	0.82277E+04	0.10000E+01
	0.82305E+04	0.10000E+01
	0.82332E+04	0.10000E+01
	0.82359E+04	0.10000E+01
	0.82386E+04	0.10000E+01
	0.82413E+04	0.10000E+01
	0.82440E+04	0.10000E+01
	0.82467E+04	0.10000E+01
	0.82495E+04	0.10000E+01
	0.82522E+04	0.10000E+01
	0.82549E+04	0.10000E+01
	0.82576E+04	0.10000E+01
	0.82604E+04	0.10000E+01
	0.82631E+04	0.10000E+01
	0.82658E+04	0.10000E+01
	0.82686E+04	0.10000E+01
	0.82713E+04	0.10000E+01
	0.82740E+04	0.10000E+01
	0.82768E+04	0.10000E+01
	0.82795E+04	0.99990E+00
	0.82823E+04	0.98560E+00
	0.82850E+04	0.97470E+00
	0.82878E+04	0.99990E+00
	0.82905E+04	0.96190E+00
	0.82932E+04	0.99850E+00
	0.82960E+04	0.97900E+00
	0.82988E+04	0.99790E+00
	0.83015E+04	0.98780E+00
	0.83043E+04	0.99920E+00
	0.83070E+04	0.97180E+00
	0.83098E+04	0.99980E+00
	0.83126E+04	0.99910E+00
	0.83153E+04	0.99220E+00
	0.83181E+04	0.99420E+00
	0.83209E+04	0.98610E+00
	0.83236E+04	0.97230E+00
	0.83264E+04	0.10000E+01
	0.83292E+04	0.99870E+00
	0.83319E+04	0.99250E+00
	0.83347E+04	0.99450E+00
	0.83375E+04	0.99610E+00
	0.83403E+04	0.98890E+00
	0.83431E+04	0.99920E+00
	0.83459E+04	0.99840E+00
	0.83486E+04	0.99980E+00
	0.83514E+04	0.99440E+00
	0.83542E+04	0.99980E+00
	0.83570E+04	0.99780E+00
	0.83598E+04	0.99510E+00
	0.83626E+04	0.99880E+00
	0.83654E+04	0.99600E+00
	0.83682E+04	0.99570E+00
	0.83710E+04	0.99650E+00
	0.83738E+04	0.10000E+01
	0.83766E+04	0.99730E+00
	0.83794E+04	0.99680E+00
	0.83822E+04	0.10000E+01
	0.83850E+04	0.99890E+00
	0.83879E+04	0.99580E+00
	0.83907E+04	0.99870E+00
	0.83935E+04	0.10000E+01
	0.83963E+04	0.99710E+00
	0.83991E+04	0.99930E+00
	0.84019E+04	0.99900E+00
	0.84048E+04	0.10000E+01
	0.84076E+04	0.99630E+00
	0.84104E+04	0.99770E+00
	0.84133E+04	0.99930E+00
	0.84161E+04	0.99990E+00
	0.84189E+04	0.99610E+00
	0.84218E+04	0.99730E+00
	0.84246E+04	0.10000E+01
	0.84274E+04	0.10000E+01
	0.84303E+04	0.99940E+00
	0.84331E+04	0.99700E+00
	0.84360E+04	0.99970E+00
	0.84388E+04	0.10000E+01
	0.84417E+04	0.10000E+01
	0.84445E+04	0.99900E+00
	0.84474E+04	0.99880E+00
	0.84502E+04	0.10000E+01
	0.84531E+04	0.99950E+00
	0.84559E+04	0.99990E+00
	0.84588E+04	0.10000E+01
	0.84617E+04	0.99820E+00
	0.84645E+04	0.10000E+01
	0.84674E+04	0.10000E+01
	0.84703E+04	0.10000E+01
	0.84731E+04	0.10000E+01
	0.84760E+04	0.10000E+01
	0.84789E+04	0.99980E+00
	0.84818E+04	0.99860E+00
	0.84846E+04	0.99970E+00
	0.84875E+04	0.10000E+01
	0.84904E+04	0.99860E+00
	0.84933E+04	0.10000E+01
	0.84962E+04	0.99960E+00
	0.84991E+04	0.99940E+00
	0.85020E+04	0.99980E+00
	0.85048E+04	0.99940E+00
	0.85077E+04	0.99920E+00
	0.85106E+04	0.10000E+01
	0.85135E+04	0.99650E+00
	0.85164E+04	0.99980E+00
	0.85193E+04	0.10000E+01
	0.85222E+04	0.99840E+00
	0.85251E+04	0.10000E+01
	0.85281E+04	0.99950E+00
	0.85310E+04	0.99970E+00
	0.85339E+04	0.10000E+01
	0.85368E+04	0.99950E+00
	0.85397E+04	0.99970E+00
	0.85426E+04	0.99850E+00
	0.85455E+04	0.10000E+01
	0.85485E+04	0.99930E+00
	0.85514E+04	0.10000E+01
	0.85543E+04	0.10000E+01
	0.85572E+04	0.99910E+00
	0.85602E+04	0.10000E+01
	0.85631E+04	0.10000E+01
	0.85660E+04	0.10000E+01
	0.85690E+04	0.10000E+01
	0.85719E+04	0.10000E+01
	0.85749E+04	0.99960E+00
	0.85778E+04	0.10000E+01
	0.85807E+04	0.10000E+01
	0.85837E+04	0.10000E+01
	0.85866E+04	0.10000E+01
	0.85896E+04	0.10000E+01
	0.85925E+04	0.99980E+00
	0.85955E+04	0.10000E+01
	0.85985E+04	0.10000E+01
	0.86014E+04	0.10000E+01
	0.86044E+04	0.10000E+01
	0.86073E+04	0.10000E+01
	0.86103E+04	0.10000E+01
	0.86133E+04	0.10000E+01
	0.86162E+04	0.10000E+01
	0.86192E+04	0.10000E+01
	0.86222E+04	0.10000E+01
	0.86252E+04	0.10000E+01
	0.86281E+04	0.10000E+01
	0.86311E+04	0.10000E+01
	0.86341E+04	0.10000E+01
	0.86371E+04	0.10000E+01
	0.86401E+04	0.10000E+01
	0.86430E+04	0.10000E+01
	0.86460E+04	0.10000E+01
	0.86490E+04	0.10000E+01
	0.86520E+04	0.10000E+01
	0.86550E+04	0.10000E+01
	0.86580E+04	0.10000E+01
	0.86610E+04	0.10000E+01
	0.86640E+04	0.10000E+01
	0.86670E+04	0.10000E+01
	0.86700E+04	0.10000E+01
	0.86730E+04	0.10000E+01
	0.86760E+04	0.10000E+01
	0.86790E+04	0.10000E+01
	0.86821E+04	0.10000E+01
	0.86851E+04	0.10000E+01
	0.86881E+04	0.10000E+01
	0.86911E+04	0.10000E+01
	0.86941E+04	0.10000E+01
	0.86972E+04	0.10000E+01
	0.87002E+04	0.10000E+01
	0.87032E+04	0.10000E+01
	0.87063E+04	0.10000E+01
	0.87093E+04	0.10000E+01
	0.87123E+04	0.10000E+01
	0.87154E+04	0.10000E+01
	0.87184E+04	0.10000E+01
	0.87214E+04	0.10000E+01
	0.87245E+04	0.10000E+01
	0.87275E+04	0.10000E+01
	0.87306E+04	0.10000E+01
	0.87336E+04	0.10000E+01
	0.87367E+04	0.10000E+01
	0.87397E+04	0.10000E+01
	0.87428E+04	0.10000E+01
	0.87458E+04	0.10000E+01
	0.87489E+04	0.10000E+01
	0.87520E+04	0.10000E+01
	0.87550E+04	0.10000E+01
	0.87581E+04	0.10000E+01
	0.87612E+04	0.10000E+01
	0.87642E+04	0.10000E+01
	0.87673E+04	0.10000E+01
	0.87704E+04	0.10000E+01
	0.87735E+04	0.10000E+01
	0.87765E+04	0.10000E+01
	0.87796E+04	0.10000E+01
	0.87827E+04	0.10000E+01
	0.87858E+04	0.10000E+01
	0.87889E+04	0.10000E+01
	0.87920E+04	0.10000E+01
	0.87951E+04	0.10000E+01
	0.87982E+04	0.10000E+01
	0.88013E+04	0.10000E+01
	0.88044E+04	0.99980E+00
	0.88075E+04	0.10000E+01
	0.88106E+04	0.10000E+01
	0.88137E+04	0.99980E+00
	0.88168E+04	0.10000E+01
	0.88199E+04	0.10000E+01
	0.88230E+04	0.99980E+00
	0.88261E+04	0.10000E+01
	0.88292E+04	0.10000E+01
	0.88324E+04	0.99980E+00
	0.88355E+04	0.10000E+01
	0.88386E+04	0.10000E+01
	0.88417E+04	0.10000E+01
	0.88449E+04	0.10000E+01
	0.88480E+04	0.10000E+01
	0.88511E+04	0.10000E+01
	0.88543E+04	0.99980E+00
	0.88574E+04	0.10000E+01
	0.88605E+04	0.99850E+00
	0.88637E+04	0.10000E+01
	0.88668E+04	0.10000E+01
	0.88700E+04	0.99940E+00
	0.88731E+04	0.10000E+01
	0.88763E+04	0.10000E+01
	0.88794E+04	0.10000E+01
	0.88826E+04	0.99850E+00
	0.88857E+04	0.99970E+00
	0.88889E+04	0.10000E+01
	0.88921E+04	0.10000E+01
	0.88952E+04	0.10000E+01
	0.88984E+04	0.99920E+00
	0.89015E+04	0.99950E+00
	0.89047E+04	0.99990E+00
	0.89079E+04	0.10000E+01
	0.89111E+04	0.99960E+00
	0.89142E+04	0.99970E+00
	0.89174E+04	0.99950E+00
	0.89206E+04	0.99840E+00
	0.89238E+04	0.99950E+00
	0.89270E+04	0.10000E+01
	0.89302E+04	0.99440E+00
	0.89334E+04	0.99520E+00
	0.89366E+04	0.99360E+00
	0.89397E+04	0.99940E+00
	0.89429E+04	0.99410E+00
	0.89461E+04	0.99440E+00
	0.89493E+04	0.99030E+00
	0.89526E+04	0.99170E+00
	0.89558E+04	0.96900E+00
	0.89590E+04	0.97900E+00
	0.89622E+04	0.99190E+00
	0.89654E+04	0.94860E+00
	0.89686E+04	0.94930E+00
	0.89718E+04	0.99600E+00
	0.89750E+04	0.93670E+00
	0.89783E+04	0.96520E+00
	0.89815E+04	0.95450E+00
	0.89847E+04	0.97850E+00
	0.89880E+04	0.95520E+00
	0.89912E+04	0.88590E+00
	0.89944E+04	0.86760E+00
	0.89977E+04	0.99840E+00
	0.90009E+04	0.98970E+00
	0.90041E+04	0.90890E+00
	0.90074E+04	0.93590E+00
	0.90106E+04	0.95180E+00
	0.90139E+04	0.94660E+00
	0.90171E+04	0.99010E+00
	0.90204E+04	0.88840E+00
	0.90236E+04	0.94480E+00
	0.90269E+04	0.91840E+00
	0.90302E+04	0.98550E+00
	0.90334E+04	0.96540E+00
	0.90367E+04	0.99640E+00
	0.90400E+04	0.10000E+01
	0.90432E+04	0.98430E+00
	0.90465E+04	0.97910E+00
	0.90498E+04	0.99070E+00
	0.90531E+04	0.99350E+00
	0.90563E+04	0.96690E+00
	0.90596E+04	0.99930E+00
	0.90629E+04	0.97020E+00
	0.90662E+04	0.96600E+00
	0.90695E+04	0.99550E+00
	0.90728E+04	0.90100E+00
	0.90761E+04	0.92570E+00
	0.90794E+04	0.99910E+00
	0.90827E+04	0.89110E+00
	0.90860E+04	0.99700E+00
	0.90893E+04	0.90980E+00
	0.90926E+04	0.98040E+00
	0.90959E+04	0.95750E+00
	0.90992E+04	0.98000E+00
	0.91025E+04	0.90840E+00
	0.91058E+04	0.99810E+00
	0.91091E+04	0.91180E+00
	0.91124E+04	0.98490E+00
	0.91158E+04	0.99610E+00
	0.91191E+04	0.94930E+00
	0.91224E+04	0.93350E+00
	0.91258E+04	0.98740E+00
	0.91291E+04	0.98040E+00
	0.91324E+04	0.90540E+00
	0.91358E+04	0.96090E+00
	0.91391E+04	0.89120E+00
	0.91424E+04	0.99080E+00
	0.91458E+04	0.98600E+00
	0.91491E+04	0.99750E+00
	0.91525E+04	0.98190E+00
	0.91558E+04	0.93350E+00
	0.91592E+04	0.90610E+00
	0.91625E+04	0.97860E+00
	0.91659E+04	0.98950E+00
	0.91693E+04	0.98380E+00
	0.91726E+04	0.98680E+00
	0.91760E+04	0.92000E+00
	0.91794E+04	0.95400E+00
	0.91827E+04	0.98900E+00
	0.91861E+04	0.95630E+00
	0.91895E+04	0.99680E+00
	0.91929E+04	0.99170E+00
	0.91962E+04	0.96830E+00
	0.91996E+04	0.97560E+00
	0.92030E+04	0.99760E+00
	0.92064E+04	0.99590E+00
	0.92098E+04	0.98070E+00
	0.92132E+04	0.99870E+00
	0.92166E+04	0.97190E+00
	0.92200E+04	0.97610E+00
	0.92234E+04	0.99330E+00
	0.92268E+04	0.98690E+00
	0.92302E+04	0.99700E+00
	0.92336E+04	0.98730E+00
	0.92370E+04	0.98220E+00
	0.92404E+04	0.97790E+00
	0.92439E+04	0.99400E+00
	0.92473E+04	0.97160E+00
	0.92507E+04	0.99260E+00
	0.92541E+04	0.98420E+00
	0.92575E+04	0.99200E+00
	0.92610E+04	0.99190E+00
	0.92644E+04	0.97240E+00
	0.92678E+04	0.99460E+00
	0.92713E+04	0.99240E+00
	0.92747E+04	0.97810E+00
	0.92782E+04	0.98400E+00
	0.92816E+04	0.93930E+00
	0.92851E+04	0.99240E+00
	0.92885E+04	0.95610E+00
	0.92920E+04	0.97410E+00
	0.92954E+04	0.93760E+00
	0.92989E+04	0.91280E+00
	0.93023E+04	0.90120E+00
	0.93058E+04	0.90770E+00
	0.93093E+04	0.89560E+00
	0.93127E+04	0.83960E+00
	0.93162E+04	0.92720E+00
	0.93197E+04	0.68790E+00
	0.93231E+04	0.89130E+00
	0.93266E+04	0.70380E+00
	0.93301E+04	0.86450E+00
	0.93336E+04	0.96300E+00
	0.93371E+04	0.68130E+00
	0.93406E+04	0.75240E+00
	0.93440E+04	0.72620E+00
	0.93475E+04	0.51170E+00
	0.93510E+04	0.97000E+00
	0.93545E+04	0.80420E+00
	0.93580E+04	0.73080E+00
	0.93615E+04	0.62550E+00
	0.93650E+04	0.94010E+00
	0.93686E+04	0.72970E+00
	0.93721E+04	0.72010E+00
	0.93756E+04	0.80430E+00
	0.93791E+04	0.78920E+00
	0.93826E+04	0.73520E+00
	0.93861E+04	0.96060E+00
	0.93897E+04	0.80280E+00
	0.93932E+04	0.98870E+00
	0.93967E+04	0.99140E+00
	0.94003E+04	0.89040E+00
	0.94038E+04	0.92390E+00
	0.94073E+04	0.99050E+00
	0.94109E+04	0.96830E+00
	0.94144E+04	0.84990E+00
	0.94180E+04	0.98210E+00
	0.94215E+04	0.87130E+00
	0.94251E+04	0.89600E+00
	0.94286E+04	0.74430E+00
	0.94322E+04	0.66440E+00
	0.94357E+04	0.98550E+00
	0.94393E+04	0.79870E+00
	0.94429E+04	0.66080E+00
	0.94464E+04	0.80640E+00
	0.94500E+04	0.93100E+00
	0.94536E+04	0.94970E+00
	0.94572E+04	0.73580E+00
	0.94607E+04	0.88040E+00
	0.94643E+04	0.72800E+00
